Keys,Type,Description
``title``,string,Title of the publication
``altmetric_id``,number ,Internal ID associated with the research output. Altmetric IDs are transient and unstable over the medium term.
``doi``,string,Relevant DOI.
``pmid``,string,Relevant Pubmed Id.
``pmc``,string,Relevant Pubmed Central Id.
``uri``,string,URI for a captured identifier (e.g https://doi.org/xxx).
``url``,string,URL to publication page.
``isbns``,string [] ,Relevant ISBN(s).
``altmetric_jid``,string,Internal identifier assigned to each journal or collection.
``handles``,string[],Relevant Handle(s).
``issns``,string [] ,Relevant ISSN(s).
``journal``,string,Name of publication journal.
``pubdate``,date,The print date that the publication was published.
``epubdate``,date,The date that the publication was published electronically.
``published_on``,number,"Returns the ``epubdate`` if it exists on the record, if not then the ``pubdate`` is returned instead."
``cohorts``,object,Groups of users who've mentioned the publication on Twitter.
``cohorts`` . ``pub``,number,Members of the Public.
``cohorts`` . ``sci``,number,Scientists.
``cohorts`` . ``com``,number,Science Communicators.
``cohorts`` . ``doc``,number,Practitioners.
``abstract``,string,Full abstract for the article.
``abstract_source``,string,Source for the abstract (e.g PUBMED).
``authors``,string[],Author names.
``type``,string,``dataset`` ``book`` ``article`` ``news`` ``chapter`` ``clinical_trial_study_record``
``is_oa``,boolean ,Deprecated.
``context``,object,Score in context.
``context`` . ``all``,objext,Contains statistics about the entire Altmetric database.
``context`` . ``all`` . ``rank``,number,Rank within publications in the database.
``context`` . ``all`` . ``pct``,number,Percentage of publications in the database with fewer mentions.
``context`` . ``all`` . ``higher_than``,number,Number of publications in the database with fewer mentions.
``context`` . ``journal``,object,Contains statistics about all articles from the same journal that have been tracked by Altmetric.
``context`` . ``journal`` . ``rank``,number,Rank within publications in the journal.
``context`` . ``journal`` . ``pct``,number,% of publications from this journal with fewer mentions.
``context`` . ``journal`` . ``higher_than``,number,Number of publications from this journal with fewer mentions.
``context`` . ``similar_age_3m``,object,Contains statistics about articles from any journal published within 6 weeks on either side of this one.
``context`` . ``similar_age_3m`` . ``count``,number,Number of publications in this time period.
``context`` . ``similar_age_3m`` . ``mean``,number,Mean score for publications in this time period.
``context`` . ``similar_age_3m`` . ``rank``,number,Score in context rank within publications in this time period.
``context`` . ``similar_age_3m`` . ``pct``,number,% of publications from this time period with fewer mentions.
``context`` . ``similar_age_3m`` . ``higher_than``,number,Number of publications from this time period with fewer mentions.
``context`` . ``similar_age_journal_3m``,object,Contains statistics about articles from the same journal and published within 6 weeks on either side of this one.
``context`` . ``similar_age_journal_3m`` . ``count``,number,Number of publications in this journal in this time period.
``context`` . ``similar_age_journal_3m`` . ``mean``,number,Mean score for publications in this journal in this time period.
``context`` . ``similar_age_journal_3m`` . ``rank``,number,Score in context rank within publications in the journal in this time period.
``context`` . ``similar_age_journal_3m`` . ``pct``,number,% of publications from this journal with fewer mentions in this time period.
``context`` . ``similar_age_journal_3m`` . ``higher_than``,number,Number of publications from this journal with fewer mentions in this time period.
``cited_by_fbwalls_count``,number,Number of the pages that have shared on Facebook.
``cited_by_feeds_count``,number,Number of blogs that have mentioned the publication.
``cited_by_gplus_count``,number,Number of the accounts that have shared on Google+.
``cited_by_msm_count``,number,Number of the news sources that have mentioned the publication.
``cited_by_posts_count``,number ,A ``post`` is any online document that links to one or more research outputs (i.e. a post is a mention or a group of mentions). This field contains the number of distinct ``posts`` that include one or more mentions of the research outputs in question.
``cited_by_rdts_count``,number,Number of Reddit threads posted about this publication.
``cited_by_tweeters_count``,number,Number of the twitter accounts that have tweeted this publication.
``cited_by_videos_count``,number,Number of the Youtube/Vimeo channels.
``cited_by_accounts_count``,number,The sum of all ``cited_by`` entries (profiles per data source).
``last_updated``,number,Last time the score changed. In UNIX.
``score``,decimal ,Current Altmetric Attention Score.
``history``,object,History of the Altmetric Attention Score for the research output.
``history`` . ``1y``,decimal ,Score change in the last year.
``history`` . ``6m``,decimal ,Score change in the last six months.
``history`` . ``3m``,decimal ,Score change in the last 3 months.
``history`` . ``1m``,decimal ,Score change in the last one month.
``history`` . ``1w``,decimal ,Score change in the last week.
``history`` . ``6d``,decimal ,Score change in the last six days.
``history`` . ``5d``,decimal ,Score change in the last five days.
``history`` . ``4d``,decimal ,Score change in the last four days.
``history`` . ``3d``,decimal ,Score change in the last three days.
``history`` . ``2d``,decimal ,Score change in the last two days.
``history`` . ``1d``,decimal ,Score change in the last one day.
``history`` . ``at``,decimal ,Current Altmetric Attention Score.
``added_on``,number,Date when Altmetric first captured attention. In UNIX.
``scopus_subjects``,string[],Initally imported from Scopus in 2011 (Depricated).
``subjects``,string[],Subjects for journal. Originally enriched from National Academy of Medecine (Depricated).
``publisher_subjects``,object[],Subjects for journal set by the publisher.
``publisher_subjects`` . ``name``,string,Name of subject
``publisher_subjects`` . ``scheme``,string,Available schemes are ``era`` ``bmj`` (Depricated) ``springer`` ``npg``
``readers``,object,Readers.
``readers`` . ``mendeley``,number,Readers in Mendeley.
``readers`` . ``connotea``,number,Readers in Connotea (no longer updated).
``readers`` . ``citeulike``,number,Readers in CiteULike (no longer updated).
``readers_count``,number,Total number of readers.
``images``,object,Links to png versions of the donut.
``images`` . ``small``,string,64px square.
``images`` . ``medium``,string,100px square.
``images`` . ``large``,string,180px square.
``details_url``,string,URL to relevant Altmetric Details Page.
``authors_or_editors``,string[],Author and editor names.
``attribution``,string,Source of data. For example Google Books.
