Keys,Type,Description
``context``,object,Score in context.
``context`` . ``all``,objext,Contains statistics about the entire Altmetric database.
``context`` . ``all`` . ``count``,number,Number of publications in the database.
``context`` . ``all`` . ``mean``,number,Mean score for publications in the database.
``context`` . ``all`` . ``rank``,number,Rank within publications in the database.
``context`` . ``all`` . ``pct``,number,Percentage of publications in the database with fewer mentions.
``context`` . ``all`` . ``higher_than``,number,Number of publications in the database with fewer mentions.
``context`` . ``journal``,object,Contains statistics about all articles from the same journal that have been tracked by Altmetric.
``context`` . ``journal`` . ``count``,number,Number of publications in this journal.
``context`` . ``journal`` . ``mean``,number,Mean score for publications in this journal.
``context`` . ``journal`` . ``rank``,number,Rank within publications in the journal.
``context`` . ``journal`` . ``pct``,number,% of publications from this journal with fewer mentions.
``context`` . ``journal`` . ``higher_than``,number,Number of publications from this journal with fewer mentions.
``context`` . ``similar_age_3m``,object,Contains statistics about articles from any journal published within 6 weeks on either side of this one.
``context`` . ``similar_age_3m`` . ``count``,number,Number of publications in this time period.
``context`` . ``similar_age_3m`` . ``mean``,number,Mean score for publications in this time period.
``context`` . ``similar_age_3m`` . ``rank``,number,Score in context rank within publications in this time period.
``context`` . ``similar_age_3m`` . ``pct``,number,% of publications from this time period with fewer mentions.
``context`` . ``similar_age_3m`` . ``higher_than``,number,Number of publications from this time period with fewer mentions.
``context`` . ``similar_age_journal_3m``,object,Contains statistics about articles from the same journal and published within 6 weeks on either side of this one.
``context`` . ``similar_age_journal_3m`` . ``count``,number,Number of publications in this journal in this time period.
``context`` . ``similar_age_journal_3m`` . ``mean``,number,Mean score for publications in this journal in this time period.
``context`` . ``similar_age_journal_3m`` . ``rank``,number,Score in context rank within publications in the journal in this time period.
``context`` . ``similar_age_journal_3m`` . ``pct``,number,% of publications from this journal with fewer mentions in this time period.
``context`` . ``similar_age_journal_3m`` . ``higher_than``,number,Number of publications from this journal with fewer mentions in this time period.
