Keys,Type,Description
``title``,string,Title of the publication
``doi``,string,Relevant DOI
``pmid``,string,Relevant PMID
``pmc``,string,Relevant PMC
``uri``,string,URL for a captured idenfier (e.g doi.org/xxx)
``isbns``,string [] ,Relevant ISBN(s)
``altmetric_jid``,number,Internal number assigned to each journal
``issns``,string [] ,Relevant ISSN(s)
``journal``,string,Name of publication journal
``cohorts``,object,Groups of users who've mentioned the publication on Twitter
``cohorts`` . ``pub``,number,Members of the Public
``cohorts`` . ``sci``,number,Scientists
``cohorts`` . ``com``,number,Science Communicators
``cohorts`` . ``doc``,number,Practitioners
``abstract``,string,Full abstract for the article
``abstract_source``,string,Source for the abstract (e.g PUBMED)
``authors``,string[],Author names
``type``,string,``dataset`` ``book`` ``article`` ``news``
``handles``,string[],Relevant Handle(s)
``altmetric_id``:,number ,Internal ID associated with the research output. Not a persistent identifier; may change when duplicate instances of the same research output are merged in our database.
``is_oa``,boolean ,Came from Scopus in 2011 and never updated
``publisher_subjects``,object[],Subjects for publication set by the publisher.
``publisher_subjects`` . ``name``,string,
``publisher_subjects`` . ``scheme``,string,
``context``,object,Score in context
``context`` . ``journal`` . ``rank``,number,Rank within publications in the journal
``context`` . ``journal`` . ``pct``,number,% of publications from this journal with fewer mentions
``context`` . ``journal`` . ``higher_than``,number,# of publications from this journal with fewer mentions
``context`` . ``similar_age_3m`` . ``count``,number,Number of publications in this time period
``context`` . ``similar_age_3m`` . ``mean``,number,Mean score for publications in this time period
``context`` . ``similar_age_3m`` . ``rank``,number,Score in context rank within publications in this time period
``context`` . ``similar_age_3`` . ``pct``,number,% of publications from this time period with fewer mentions
``context`` . ``similar_age_3m`` . ``higher_than``,number,# of publications from this time period with fewer mentions
``context`` . ``similar_age_journal`` . ``3m_count``,number,Number of publications in this journal in this time period
``contex`` . ``similar_age_journal`` . ``3m_mean``,number,Mean score for publications in this journal in this time period
``contex`` . ``similar_age_journal`` . ``3m_rank``,number,Score in context rank within publications in the journal in this time period
``context`` . ``similar_age_journal`` . ``3m_pct``,number,% of publications from this journal with fewer mentions in this time period
``context`` . ``similar_age_journal_3m`` . ``higher_than``,number,# of publications from this journal with fewer mentions in this time period
``cited_by_fbwalls_count``,number,Number of the pages that have shared on Facebook
``cited_by_feeds_count``,number,Number of blogs that have mentioned the publication
``cited_by_gplus_count``,number,Number of the accounts that have shared on Google+
``cited_by_msm_count``,number,Number of the news sources that have mentioned the publication
``cited_by_posts_count``,number ,A ``post`` is any online document that links to one or more research outputs (i.e. a post is a mention or a group of mentions). This field contains the number of distinct ``posts`` that include one or more mentions of the research outputs in question.
``cited_by_rdts_count``,number,Number of Reddit threads posted about this publication
``cited_by_tweeters_count``,number,Number of the twitter accounts that have tweeted this publication
``cited_by_videos_count``,number,Number of the Youtube/Vimeo channels
``cited_by_accounts_count``,number,The sum of all ``cited_by`` entries (profiles per data source)
``last_updated``,number,Last time the score changed. In UNIX
``score``,decimal ,Current Altmetric Attention Score
``history``,object,History of the Altmetric Attention Score for the research output
``history`` . ``1y``,decimal ,Score change in this time period
``history`` . ``6m``,decimal ,Score change in this time period
``history`` . ``3m``,decimal ,Score change in this time period
``history`` . ``1m``,decimal ,Score change in this time period
``history`` . ``1w``,decimal ,Score change in this time period
``history`` . ``6d``,decimal ,Score change in this time period
``history`` . ``5d``,decimal ,Score change in this time period
``history`` . ``4d``,decimal ,Score change in this time period
``history`` . ``3d``,decimal ,Score change in this time period
``history`` . ``2d``,decimal ,Score change in this time period
``history`` . ``1d``,decimal ,Score change in this time period
``history`` . ``at``,decimal ,Current Altmetric Attention Score
``url``,string,URL to publication page
``added_on``,number,Date when Altmetric first captured attention. In UNIX.
``published_on``,number,Publication date. In UNIX
``subjects``,string[],ERA subjects associated with the publication
``scopus_subjects``,string[],Added it in 2011 and never removed
``readers``,object,Readers in citeulike
``readers`` . ``mendeley``,number,Readers in Mendeley
``readers`` . ``connotea``,number,Readers in Connotea
``readers`` . ``citeulike``,number,Readers in Connotea
``readers_count``,number,Total number of readers
``images``,object,Links to png versions of the donut
``images`` . ``small``,string,64px square
``images`` . ``medium``,string,100px square
``images`` . ``large``,string,180px square
``details_url``,string,URL to relevant Altmetric Details Page
``authors_or_editors``,string[],Author and editor names
``attribution``,string,Source of data. For example Google Books 
